,Image,RAM_Tags,YOLO_Tags
173,2828.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 11 car, 1 traffic light"
174,2842.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 13 car, 1 traffic light"
175,2856.jpg,black | car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road | sedan | street corner,"1 person, 9 car, 1 traffic light"
176,2870.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 11 car, 1 traffic light"
177,2884.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 9 car, 1 traffic light"
178,2898.jpg,black | car | city street | crack | crosswalk | curb | drain | drive | intersection | manhole | manhole cover | park | road | sedan | street corner,"1 person, 13 car, 1 traffic light"
179,2912.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 11 car, 1 traffic light"
180,2926.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 8 car, 1 traffic light"
181,2940.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 8 car, 1 traffic light"
182,2954.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 8 car, 1 traffic light"
183,2968.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | manhole | manhole cover | road | street corner,"3 person, 8 car, 1 traffic light"
184,2982.jpg,car | city street | couple | crack | crosswalk | curb | drain | intersection | park | police | police car | road | street corner,"3 person, 11 car, 1 traffic light"
185,2996.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 12 car, 1 traffic light"
186,3010.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 13 car, 1 traffic light"
187,3024.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 11 car, 1 traffic light"
188,3038.jpg,crack | cross | crosswalk | drain | person | skate | intersection | longboard | man | ride | road | skateboard | skateboarder,"6 person, 12 car, 1 traffic light"
189,3052.jpg,car | city street | crack | cross | crosswalk | drain | person | skate | intersection | man | ride | road | skateboard | skateboarder | street corner | walk,"5 person, 13 car, 1 traffic light"
190,3066.jpg,car | city street | crack | cross | crosswalk | drain | person | skate | intersection | man | ride | road | scooter | skateboard | skateboarder | walk,"5 person, 10 car, 1 traffic light"
